date,nasdaq,bitcoin,nasdaq_pct,btc_pct
2024-06-11,468.02,69493.17760915738,0.6862724006626131,-0.2311177490927574
2024-06-12,474.15,67329.15232724321,1.3097730866202362,-3.114011125070515
2024-06-13,476.72,68224.51967501991,0.5420225666983081,1.3298360618367866
2024-06-14,479.19,66700.31696564378,0.5181238462829363,-2.234098116976857
2024-06-17,485.06,66615.53782131766,1.2249838268745261,-0.12710455989255465
2024-06-18,485.21,66460.38897909952,0.03092400940090112,-0.23290188339287754
2024-06-20,481.47,64907.07460760319,-0.7708002720471452,-2.337203250472719
2024-06-21,480.18,64844.67441797763,-0.2679294660103526,-0.09613773229312228
2024-06-24,473.96,63221.35738437477,-1.2953475779915902,-2.5033929897453566
2024-06-25,479.38,60363.23497529626,1.1435564182631586,-4.5208178491037865
2024-06-26,480.37,61770.413870095355,0.2065167508031207,2.331185357072041
2024-06-27,481.61,60749.89619402014,0.25813435476820246,-1.6521140334616935
2024-06-28,479.11,61562.64532550036,-0.5190922115404617,1.3378609386993867
2024-07-01,481.92,62734.39383945474,0.586504143098665,1.9033433468607308
2024-07-02,486.98,62819.82226921849,1.0499667994687822,0.13617479110801245
2024-07-03,491.04,62042.5650371006,0.8337098032773493,-1.237280215131631
2024-07-05,496.16,57189.17412408636,1.0426849136526473,-7.822679333312498
2024-07-08,497.34,55880.3753776708,0.23782650757819823,-2.2885428343059955
2024-07-09,497.77,56665.140733520275,0.08645996702456582,1.404366650269595
2024-07-10,502.96,57988.30351208401,1.0426502199811116,2.335056017572046
2024-07-11,491.93,57704.202284462874,-2.1930173373628015,-0.4899285035333545
2024-07-12,494.82,57388.192479166675,0.5874819588152835,-0.5476374211680013
2024-07-15,496.15,60942.32773996293,0.26878460854451447,6.193147243810637
2024-07-16,496.34,64835.48973321571,0.038294870502864065,6.388272548210927
2024-07-17,481.77,65162.23625234354,-2.9354877704799165,0.5039624447541247
2024-07-18,479.49,64136.31384360687,-0.47325487265706956,-1.5744125244010032
